video,christian_mean_iou,method_mean_iou,mean_delta_iou,n_frames,method
before-video-012,0.32948153532278435,0.35215433099303306,0.022672795670248748,72,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-013,0.3853891417238897,0.29212402564025153,-0.09326511608363819,9,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-000,0.3794809288242044,0.28431985685043487,-0.09516107197376955,66,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-001,0.2519872494594668,0.28870724162183736,0.0367199921623706,11,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-002,0.2820122457959932,0.30968564529484505,0.02767339949885187,49,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-003,0.3322926377146983,0.3444484942004838,0.012155856485785514,46,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-004,0.3922930137962685,0.2551707294117031,-0.1371222843845654,10,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-005,0.349849799883027,0.3339072688606545,-0.015942531022372478,55,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-006,0.3695320690992881,0.34217160555724463,-0.027360463542043422,38,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-007,0.38623108288556074,0.4560989059997458,0.06986782311418507,10,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-008,0.32623887984656946,0.3118229540511396,-0.014415925795429916,91,strict_qmem_v2_T2K2_qmem_only_lambda0p02
before-video-009,0.2938306545962098,0.39695029423051215,0.10311963963430242,14,strict_qmem_v2_T2K2_qmem_only_lambda0p02
